
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001477                       # Number of seconds simulated (Second)
simTicks                                   1476546000                       # Number of ticks simulated (Tick)
finalTick                                  1476546000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     18.87                       # Real time elapsed on the host (Second)
hostTickRate                                 78254439                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     709512                       # Number of bytes of host memory used (Byte)
simInsts                                      3510353                       # Number of instructions simulated (Count)
simOps                                        3510368                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186041                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     186041                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1476547                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.420626                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.377407                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3519718                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      140                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3517582                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    256                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9489                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              4803                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  53                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1459348                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.410379                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.188740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     94904      6.50%      6.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    283243     19.41%     25.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    283684     19.44%     45.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    529479     36.28%     81.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    265228     18.17%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       867      0.06%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       901      0.06%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       455      0.03%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       587      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1459348                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     126      0.15%      0.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   81533     99.25%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.41% # attempts to use FU when none available (Count)
