M_Size,L1D_size,L2D_size,L1_assoc,L2_assoc,simTicks,L1D_hit_rate,L2D_hit_rate
64,16kB,128kB,2,4,1477703000,0.9233911799875114,0.9276829769736842
64,16kB,128kB,2,8,1477612000,0.923398364396134,0.9278371710526315
64,16kB,128kB,2,16,1477612000,0.923398364396134,0.9278371710526315
64,16kB,128kB,4,4,1477460000,0.9103542104607812,0.9475938617401669
64,16kB,128kB,4,8,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,128kB,4,16,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,128kB,8,4,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,128kB,8,8,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,128kB,8,16,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,256kB,2,4,1477612000,0.923398364396134,0.9278371710526315
64,16kB,256kB,2,8,1477612000,0.923398364396134,0.9278371710526315
64,16kB,256kB,2,16,1477612000,0.923398364396134,0.9278371710526315
64,16kB,256kB,4,4,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,256kB,4,8,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,256kB,4,16,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,256kB,8,4,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,256kB,8,8,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,256kB,8,16,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,512kB,2,4,1477612000,0.923398364396134,0.9278371710526315
64,16kB,512kB,2,8,1477612000,0.923398364396134,0.9278371710526315
64,16kB,512kB,2,16,1477612000,0.923398364396134,0.9278371710526315
64,16kB,512kB,4,4,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,512kB,4,8,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,512kB,4,16,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,512kB,8,4,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,512kB,8,8,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,512kB,8,16,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,1024kB,2,4,1477612000,0.923398364396134,0.9278371710526315
64,16kB,1024kB,2,8,1477612000,0.923398364396134,0.9278371710526315
64,16kB,1024kB,2,16,1477612000,0.923398364396134,0.9278371710526315
64,16kB,1024kB,4,4,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,1024kB,4,8,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,1024kB,4,16,1477184000,0.9103595396573981,0.9476683551847438
64,16kB,1024kB,8,4,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,1024kB,8,8,1477618000,0.9008815009320398,0.9655214754058102
64,16kB,1024kB,8,16,1477618000,0.9008815009320398,0.9655214754058102
64,32kB,128kB,2,4,1477215000,0.9460053361069858,0.8904546870133915
64,32kB,128kB,2,8,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,128kB,2,16,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,128kB,4,4,1476886000,0.9870191937947022,0.33127376425855515
64,32kB,128kB,4,8,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,128kB,4,16,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,128kB,8,4,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,128kB,8,8,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,128kB,8,16,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,256kB,2,4,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,256kB,2,8,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,256kB,2,16,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,256kB,4,4,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,256kB,4,8,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,256kB,4,16,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,256kB,8,4,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,256kB,8,8,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,256kB,8,16,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,512kB,2,4,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,512kB,2,8,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,512kB,2,16,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,512kB,4,4,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,512kB,4,8,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,512kB,4,16,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,512kB,8,4,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,512kB,8,8,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,512kB,8,16,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,1024kB,2,4,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,1024kB,2,8,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,1024kB,2,16,1477186000,0.9460125620318995,0.8906882591093117
64,32kB,1024kB,4,4,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,1024kB,4,8,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,1024kB,4,16,1476840000,0.9870246633938398,0.33222433460076045
64,32kB,1024kB,8,4,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,1024kB,8,8,1476824000,0.9869935343051712,0.3367973547472839
64,32kB,1024kB,8,16,1476824000,0.9869935343051712,0.3367973547472839
64,64kB,128kB,2,4,1476955000,0.9901258984571716,0.04421768707482993
64,64kB,128kB,2,8,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,128kB,2,16,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,128kB,4,4,1476546000,0.9903000981526787,0.004964539007092199
64,64kB,128kB,4,8,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,128kB,4,16,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,128kB,8,4,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,128kB,8,8,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,128kB,8,16,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,256kB,2,4,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,256kB,2,8,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,256kB,2,16,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,256kB,4,4,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,256kB,4,8,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,256kB,4,16,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,256kB,8,4,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,256kB,8,8,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,256kB,8,16,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,512kB,2,4,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,512kB,2,8,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,512kB,2,16,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,512kB,4,4,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,512kB,4,8,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,512kB,4,16,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,512kB,8,4,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,512kB,8,8,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,512kB,8,16,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,1024kB,2,4,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,1024kB,2,8,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,1024kB,2,16,1476928000,0.9901332234583161,0.04625850340136054
64,64kB,1024kB,4,4,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,1024kB,4,8,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,1024kB,4,16,1476549000,0.9903000981526787,0.005673758865248227
64,64kB,1024kB,8,4,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,1024kB,8,8,1476500000,0.9903037783218487,0.0028469750889679717
64,64kB,1024kB,8,16,1476500000,0.9903037783218487,0.0028469750889679717
