M_Size,L1D_size,L2D_size,L1_assoc,L2_assoc,simTicks,L1D_hit_rate,L2D_hit_rate
64,16kB,128kB,2,4,10828707000,0.9450204688561306,0.956287761233451
64,16kB,128kB,2,8,10828707000,0.9450204688561306,0.956287761233451
64,16kB,128kB,2,16,10828707000,0.9450204688561306,0.956287761233451
64,16kB,128kB,4,4,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,128kB,4,8,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,128kB,4,16,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,128kB,8,4,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,128kB,8,8,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,128kB,8,16,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,256kB,2,4,10828707000,0.9450204688561306,0.956287761233451
64,16kB,256kB,2,8,10828707000,0.9450204688561306,0.956287761233451
64,16kB,256kB,2,16,10828707000,0.9450204688561306,0.956287761233451
64,16kB,256kB,4,4,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,256kB,4,8,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,256kB,4,16,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,256kB,8,4,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,256kB,8,8,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,256kB,8,16,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,512kB,2,4,10828707000,0.9450204688561306,0.956287761233451
64,16kB,512kB,2,8,10828707000,0.9450204688561306,0.956287761233451
64,16kB,512kB,2,16,10828707000,0.9450204688561306,0.956287761233451
64,16kB,512kB,4,4,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,512kB,4,8,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,512kB,4,16,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,512kB,8,4,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,512kB,8,8,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,512kB,8,16,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,1024kB,2,4,10828707000,0.9450204688561306,0.956287761233451
64,16kB,1024kB,2,8,10828707000,0.9450204688561306,0.956287761233451
64,16kB,1024kB,2,16,10828707000,0.9450204688561306,0.956287761233451
64,16kB,1024kB,4,4,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,1024kB,4,8,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,1024kB,4,16,10513569000,0.9504727112514457,0.9515089364195722
64,16kB,1024kB,8,4,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,1024kB,8,8,10847636000,0.9248655297119674,0.9679045864442936
64,16kB,1024kB,8,16,10847636000,0.9248655297119674,0.9679045864442936
64,32kB,128kB,2,4,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,128kB,2,8,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,128kB,2,16,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,128kB,4,4,9906383000,0.996842472417528,0.35256723716381416
64,32kB,128kB,4,8,9906383000,0.996842472417528,0.35256723716381416
64,32kB,128kB,4,16,9906383000,0.996842472417528,0.35256723716381416
64,32kB,128kB,8,4,9906383000,0.9968369651019772,0.353199804592086
64,32kB,128kB,8,8,9906383000,0.9968369651019772,0.353199804592086
64,32kB,128kB,8,16,9906383000,0.9968369651019772,0.353199804592086
64,32kB,256kB,2,4,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,256kB,2,8,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,256kB,2,16,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,256kB,4,4,9906383000,0.996842472417528,0.35256723716381416
64,32kB,256kB,4,8,9906383000,0.996842472417528,0.35256723716381416
64,32kB,256kB,4,16,9906383000,0.996842472417528,0.35256723716381416
64,32kB,256kB,8,4,9906383000,0.9968369651019772,0.353199804592086
64,32kB,256kB,8,8,9906383000,0.9968369651019772,0.353199804592086
64,32kB,256kB,8,16,9906383000,0.9968369651019772,0.353199804592086
64,32kB,512kB,2,4,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,512kB,2,8,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,512kB,2,16,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,512kB,4,4,9906383000,0.996842472417528,0.35256723716381416
64,32kB,512kB,4,8,9906383000,0.996842472417528,0.35256723716381416
64,32kB,512kB,4,16,9906383000,0.996842472417528,0.35256723716381416
64,32kB,512kB,8,4,9906383000,0.9968369651019772,0.353199804592086
64,32kB,512kB,8,8,9906383000,0.9968369651019772,0.353199804592086
64,32kB,512kB,8,16,9906383000,0.9968369651019772,0.353199804592086
64,32kB,1024kB,2,4,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,1024kB,2,8,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,1024kB,2,16,10688555000,0.9557468837772841,0.9458398101938967
64,32kB,1024kB,4,4,9906383000,0.996842472417528,0.35256723716381416
64,32kB,1024kB,4,8,9906383000,0.996842472417528,0.35256723716381416
64,32kB,1024kB,4,16,9906383000,0.996842472417528,0.35256723716381416
64,32kB,1024kB,8,4,9906383000,0.9968369651019772,0.353199804592086
64,32kB,1024kB,8,8,9906383000,0.9968369651019772,0.353199804592086
64,32kB,1024kB,8,16,9906383000,0.9968369651019772,0.353199804592086
64,64kB,128kB,2,4,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,128kB,2,8,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,128kB,2,16,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,128kB,4,4,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,128kB,4,8,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,128kB,4,16,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,128kB,8,4,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,128kB,8,8,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,128kB,8,16,9889126000,0.9981587208341748,0.0015082956259426848
64,64kB,256kB,2,4,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,256kB,2,8,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,256kB,2,16,9891447000,0.9980779468727626,0.044733044733044736
64,64kB,256kB,4,4,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,256kB,4,8,9889126000,0.9981550492904742,0.003762227238525207
64,64kB,256kB,4,16,9889126000,0.9981550492904742,0.003762227238525207
